0.0,0.0,0.656,1.36,4.031,12.127,28.819,62.605,70.358,55.362,41.776,17.452,5.902,1.672,5.682,14.196,30.154,44.918,35.332,29.114,11.605,8.858,1.131,0.516
0.333,0.333,0.333,2.921,4.276,15.937,30.943,57.151,74.247,64.85,41.074,16.163,7.304,2.348,7.592,20.17,39.569,65.334,58.693,35.385,17.185,9.952,3.148,1.083
0.571,0.571,0.81,1.905,3.652,16.377,29.967,62.368,67.41,63.457,43.93,15.215,6.929,3.392,7.136,22.636,45.298,73.231,70.266,42.283,21.178,9.946,3.483,0.957
0.571,0.571,0.571,1.405,6.847,15.883,31.343,62.092,70.625,63.9,40.796,15.776,6.808,3.228,9.344,21.734,45.778,75.345,68.624,43.605,20.473,9.403,3.829,1.4
0.71,0.71,0.948,2.258,6.101,15.039,29.38,64.797,64.527,63.467,43.07,14.287,5.812,2.995,9.195,21.546,43.614,83.621,70.85,44.484,20.9,10.444,4.693,1.023
0.71,0.71,0.71,1.753,5.736,20.514,28.508,62.564,68.273,57.742,39.892,18.365,8.441,3.625,8.042,23.446,42.125,79.393,72.157,46.287,19.691,13.038,4.003,1.643
0.71,0.71,0.867,2.176,5.581,13.701,32.776,59.431,71.446,57.919,39.105,18.082,7.58,4.234,10.198,21.347,38.975,81.795,74.081,46.398,21.271,9.442,3.803,1.144
0.71,0.71,0.71,2.159,5.923,15.896,32.563,64.065,76.681,62.792,44.341,16.376,7.846,3.231,7.993,21.52,48.426,82.796,77.603,45.102,21.783,9.56,3.673,1.504
0.71,0.71,0.71,2.06,5.679,13.817,28.561,58.072,70.872,60.615,45.071,19.361,6.589,1.976,7.992,24.042,43.857,86.403,77.98,45.118,20.723,9.035,4.215,1.334
0.901,0.901,1.04,2.613,7.33,18.371,32.991,63.189,72.396,64.327,41.128,16.394,7.016,3.361,7.895,20.209,45.685,79.509,77.904,49.012,19.603,10.944,4.246,1.972
1.139,1.417,1.295,2.882,6.106,16.0,28.981,58.661,69.562,62.589,46.908,16.512,7.899,3.822,10.71,24.206,48.488,83.202,79.86,42.843,19.271,11.395,4.446,1.516
1.377,1.377,1.877,2.644,7.825,16.224,30.038,65.016,74.568,58.216,42.646,17.191,7.542,2.794,9.622,21.52,48.813,82.408,78.935,46.22,20.69,10.923,5.104,1.672
1.377,1.377,1.615,3.226,5.85,15.358,29.521,58.783,71.524,64.147,45.175,17.805,7.814,4.52,10.434,24.716,42.462,81.101,83.011,45.419,21.596,12.205,4.229,2.089
1.377,1.377,1.377,2.893,5.342,19.51,31.255,63.097,73.138,61.757,47.396,17.423,5.84,4.901,9.476,23.586,45.812,79.484,71.343,44.232,22.662,12.051,4.19,2.049
1.877,1.877,2.115,3.171,6.356,18.406,29.406,57.96,72.347,58.432,42.353,16.758,8.733,4.758,10.242,22.718,43.435,81.503,80.937,47.416,21.181,12.719,5.164,2.571
1.877,1.877,2.155,2.778,6.12,17.39,31.732,64.484,74.297,62.193,37.039,14.903,8.075,4.595,10.103,22.893,42.55,80.819,79.126,47.321,20.791,12.246,5.005,2.893
2.033,2.033,2.271,3.286,7.072,19.026,33.323,64.3,70.273,53.763,39.865,18.324,6.871,5.224,11.503,22.741,49.603,81.36,76.058,45.17,21.744,11.616,4.741,2.688
